shapeID,shapeName,bps_code,bps_name,match
22746128B16659764843822,Lampung Utara,1806,Lampung Utara,exact
22746128B55433427549228,Landak,6103,Landak,exact
22746128B45262154134474,Langkat,1213,Langkat,exact
22746128B21145180666794,Lanny Jaya,9430,Lanny Jaya,exact
22746128B73767534141998,Lebak,3602,Lebak,exact
22746128B6914990948320,Lebong,1707,Lebong,exact
22746128B62947944336237,Lembata,5308,Lembata,exact
22746128B97954273808268,Lima Puluh Kota,1308,Lima Puluh Kota,exact
22746128B41866695352092,Lingga,2104,Lingga,exact
22746128B38668827904245,Lombok Barat,5201,Lombok Barat,exact
22746128B98880758851169,Lombok Tengah,5202,Lombok Tengah,exact
22746128B55307338459902,Lombok Timur,5203,Lombok Timur,exact
22746128B90862663975631,Lombok Utara,5208,Lombok Utara,exact
22746128B76070527787319,Lumajang,3508,Lumajang,exact
22746128B94521952332625,Luwu,7317,Luwu,exact
22746128B1110744719374,Luwu Timur,7325,Luwu Timur,exact
22746128B26232805086319,Luwu Utara,7322,Luwu Utara,exact
22746128B56340035124164,Madiun,3519,Madiun,exact
22746128B50341569898666,Magelang,3308,Magelang,exact
22746128B43524249433579,Magetan,3520,Magetan,exact
22746128B30313932055345,Mahakam Hulu,6411,Mahakam Ulu,fuzzy
22746128B87647472826371,Majalengka,3210,Majalengka,exact
22746128B56869239776422,Majene,7601,Majene,exact
22746128B56140662064287,Malaka,5321,Malaka,exact
22746128B8866265958554,Malang,3507,Malang,exact
22746128B54632748429230,Malinau,6501,Malinau,exact
22746128B88480653802061,Maluku Barat Daya,8108,Maluku Barat Daya,exact
22746128B41463091507887,Maluku Tengah,8103,Maluku Tengah,exact
22746128B6545713511337,Maluku Tenggara,8102,Maluku Tenggara,exact
22746128B78864950196660,Maluku Tenggara Barat,8101,Maluku Tenggara Barat,exact
22746128B65559589019405,Mamasa,7603,Mamasa,exact
22746128B39960960221771,Mamberamo Raya,9428,Mamberamo Raya,exact
22746128B2349164731379,Mamberamo Tengah,9431,Mamberamo Tengah,exact
22746128B65468173429736,Mamuju,7604,Mamuju,exact
22746128B49136567123703,Mamuju Tengah,7606,Mamuju Tengah,exact
22746128B5634485200629,Mamuju Utara,7605,Pasangkayu,manual
22746128B80893459197040,Mandailing Natal,1202,Mandailing Natal,exact
22746128B41361424069199,Manggarai,5313,Manggarai,exact
22746128B27819456459641,Manggarai Barat,5315,Manggarai Barat,exact
22746128B57997288446056,Manggarai Timur,5319,Manggarai Timur,exact
22746128B58641314112332,Manokwari,9105,Manokwari,exact
22746128B90822416479405,Manokwari Selatan,9111,Manokwari Selatan,exact
22746128B63262525003276,Mappi,9414,Mappi,exact
22746128B73491405172020,Maros,7308,Maros,exact
22746128B44891092584435,Maybrat,9110,Maybrat,exact
22746128B3341090541732,Melawi,6110,Melawi,exact
22746128B13218426778114,Mempawah,6104,Mempawah,exact
22746128B71403115718321,Merangin,1502,Merangin,exact
22746128B65756496772256,Merauke,9401,Merauke,exact
22746128B5734020897269,Mesuji,1811,Mesuji,exact
22746128B99426029309213,Mimika,9412,Mimika,exact
22746128B63895215577583,Minahasa,7102,Minahasa,exact
22746128B98133955192071,Minahasa Selatan,7105,Minahasa Selatan,exact
22746128B38105670760260,Minahasa Tenggara,7109,Minahasa Tenggara,exact
22746128B90516172699691,Minahasa Utara,7106,Minahasa Utara,exact
22746128B795310620233,Mojokerto,3516,Mojokerto,exact
22746128B26432903559283,Morowali,7203,Morowali,exact
22746128B96188894812390,Morowali Utara,7212,Morowali Utara,exact
22746128B32446581498560,Muara Enim,1603,Muara Enim,exact
22746128B29274337249674,Muaro Jambi,1505,Muaro Jambi,exact
22746128B39825953538573,Mukomuko,1706,Mukomuko,exact
22746128B70372019871554,Muna,7402,Muna,exact
22746128B23924471266348,Muna Barat,7413,Muna Barat,exact
22746128B54866510421393,Murung Raya,6213,Murung Raya,exact
22746128B84212736337013,Musi Banyuasin,1606,Musi Banyuasin,exact
22746128B56500782521831,Musi Rawas,1605,Musi Rawas,exact
22746128B26074251210079,Musi Rawas Utara,1613,Musi Rawas Utara,exact
22746128B29146649309875,Nabire,9404,Nabire,exact
22746128B8237986094994,Nagan Raya,1115,Nagan Raya,exact
22746128B97494513966687,Nagekeo,5318,Nagekeo,exact
22746128B6637644559706,Natuna,2103,Natuna,exact
22746128B7624163664321,Nduga,9429,Nduga,exact
22746128B33181363193361,Ngada,5312,Ngada,exact
22746128B46559606025688,Nganjuk,3518,Nganjuk,exact
22746128B17210029520680,Ngawi,3521,Ngawi,exact
22746128B114560941686,Nias,1201,Nias,exact
22746128B23007358779926,Nias Barat,1225,Nias Barat,exact
22746128B70987165350034,Nias Selatan,1214,Nias Selatan,exact
22746128B50601239773602,Nias Utara,1224,Nias Utara,exact
22746128B24707766174966,Nunukan,6504,Nunukan,exact
22746128B50783491652131,Ogan Ilir,1610,Ogan Ilir,exact
22746128B6554957987252,Ogan Komering Ilir,1602,Ogan Komering Ilir,exact
22746128B55651065226017,Ogan Komering Ulu,1601,Ogan Komering Ulu,exact
22746128B38683854456350,Ogan Komering Ulu Selatan,1608,Ogan Komering Ulu Selatan,exact
22746128B29719145941035,Ogan Komering Ulu Timur,1609,Ogan Komering Ulu Timur,exact
22746128B46377021687256,Pacitan,3501,Pacitan,exact
22746128B18337582481574,Padang Lawas,1221,Padang Lawas,exact
22746128B6160471216736,Padang Lawas Utara,1220,Padang Lawas Utara,exact
22746128B3683779023382,Padang Pariaman,1306,Padang Pariaman,exact
22746128B12751431115951,Pakpak Bharat,1216,Pakpak Bharat,exact
22746128B37926964335633,Pamekasan,3528,Pamekasan,exact
22746128B79755996911998,Pandeglang,3601,Pandeglang,exact
22746128B59857718615465,Pangandaran,3218,Pangandaran,exact
22746128B84288456023840,Pangkajene Dan Kepulauan,7309,Pangkajene Dan Kepulauan,exact
22746128B72382312298600,Paniai,9410,Paniai,exact
22746128B5854376167403,Parigi Moutong,7208,Parigi Moutong,exact
22746128B82897046958257,Pasaman,1309,Pasaman,exact
22746128B95220206981522,Pasaman Barat,1312,Pasaman Barat,exact
22746128B17746000623405,Paser,6401,Paser,exact
